"input" "filtered" "tabled" "nonchim"
"Sample001" 64048 53884 48772 39968
"Sample002" 42742 36908 33745 28508
"Sample003" 44038 37335 34083 29666
"Sample004" 45083 38584 35057 29390
"Sample005" 49873 42810 39192 33860
"Sample006" 43553 36784 33848 29726
"Sample007" 51020 42902 39591 35175
"Sample008" 61334 51204 46222 40280
"Sample009" 50809 41819 37503 31275
"Sample010" 40737 34748 32481 28872
"Sample011" 50545 42396 38007 29842
"Sample012" 33409 28543 25928 22050
"Sample013" 44630 37465 33665 27948
"Sample014" 41487 34486 31303 26064
"Sample015" 38812 32315 29526 25205
"Sample016" 57659 48339 43757 36837
"Sample017" 53082 44191 40151 34228
"Sample018" 37699 32395 28582 23744
"Sample019" 41679 35082 31610 26164
"Sample020" 47198 40126 35818 29426
"Sample021" 46886 40246 36047 29608
"Sample022" 39427 33591 30340 24589
"Sample023" 43279 37104 33571 28039
"Sample024" 50889 42840 38180 31218
"Sample025" 53962 45942 40578 32629
"Sample026" 42011 36497 33193 27202
"Sample027" 44132 37654 33649 27470
"Sample028" 57861 50083 44816 35081
"Sample029" 48427 41459 35898 29353
"Sample030" 55127 47249 41972 34375
"Sample031" 36638 31470 28096 23640
"Sample032" 56536 48251 43132 33967
"Sample033" 54500 45920 40742 32541
"Sample034" 36466 31682 28172 22748
"Sample035" 44064 37781 33748 27941
"Sample036" 41982 36300 32416 25978
"Sample037" 51161 43433 38338 31038
"Sample038" 55507 46797 42489 36272
"Sample039" 52371 44640 41056 36168
"Sample040" 56438 47502 43207 34693
"Sample041" 56865 47067 42739 36451
"Sample042" 32326 26921 24678 21551
"Sample043" 49985 41711 36718 29332
"Sample044" 47428 39830 36522 30841
"Sample045" 48171 40209 36705 31360
"Sample046" 48927 41173 37550 31309
"Sample047" 45815 38601 35002 28611
"Sample048" 64025 53461 48826 40349
"Sample049" 55295 46771 41733 35080
"Sample050" 35228 30025 26802 22903
"Sample051" 46274 38777 35401 30370
"Sample052" 47944 41206 37159 31785
"Sample053" 56250 47811 42967 34792
"Sample054" 55042 46430 42503 35204
"Sample055" 111967 96077 87036 68768
"Sample056" 64101 53992 48156 38762
"Sample057" 42169 35120 31393 26445
"Sample058" 26640 22429 20233 16852
"Sample059" 34635 28759 25577 21147
"Sample060" 37883 31751 28137 23626
"Sample061" 44997 38175 33893 26962
"Sample062" 35401 29921 26509 22305
"Sample063" 42583 36435 33031 26406
"Sample064" 43389 36401 32445 26133
"Sample065" 43085 35854 31402 25207
"Sample066" 24519 21034 18153 15038
"Sample067" 35872 30318 27038 21974
"Sample068" 35148 30283 26683 21765
"Sample069" 43170 37103 32709 26730
"Sample070" 37051 31343 27379 22050
"Sample071" 40986 34835 30797 24302
"Sample072" 45179 38072 33516 26342
"Sample073" 51674 43090 38740 32091
"Sample074" 31608 27294 24471 20449
"Sample075" 41633 35598 32291 27802
"Sample076" 45748 39069 35220 29022
"Sample077" 47247 39804 35079 28901
"Sample078" 45585 38575 34595 29249
"Sample079" 40143 34321 30854 25680
"Sample080" 50824 43160 38838 32244
"Sample081" 61877 50157 45421 37971
"Sample082" 32589 27707 24902 21772
"Sample083" 38605 32020 29301 25757
"Sample084" 44130 36661 33261 29534
"Sample085" 47342 40497 36224 30152
"Sample086" 46866 39701 35815 30293
"Sample087" 47898 40982 36349 29914
"Sample088" 54773 45836 41019 33772
"Sample089" 59004 49503 44712 36276
"Sample090" 27526 23456 20624 17343
"Sample091" 40570 34096 30868 25131
"Sample092" 41571 35248 31375 25728
"Sample093" 45335 38455 34098 27872
"Sample094" 36119 30402 27024 22522
"Sample095" 40809 34673 30632 24649
"Sample096" 40488 33877 29794 24908
"Sample097" 66130 55671 50271 40369
"Sample098" 28389 24370 21882 18310
"Sample099" 34598 29092 26125 21570
"Sample100" 45375 38734 34296 28165
"Sample101" 58676 50148 44049 33908
"Sample102" 37796 31964 28411 21810
"Sample103" 51504 44243 40132 33701
"Sample104" 92345 78818 71671 56809
"Sample105" 42823 35990 32392 26722
"Sample106" 20860 17757 15741 13060
"Sample107" 28782 24295 21564 17564
"Sample108" 246035 208967 190457 136136
"Sample109" 30343 25498 22007 17111
"Sample110" 41796 35025 30665 24245
"Sample111" 49827 42188 37124 30368
"Sample112" 44831 37658 32997 27076
"Sample113" 126648 106141 97721 70828
"Sample114" 18043 15557 13510 11406
"Sample115" 25725 21878 19469 16692
"Sample116" 31309 26888 23272 19381
"Sample117" 31331 26818 23367 19111
"Sample118" 36160 30608 27102 22395
"Sample119" 51131 43406 40438 33748
"Sample120" 50708 42083 38880 32938
"Sample121" 31699 26433 24470 21794
"Sample122" 29545 25395 23449 20235
"Sample123" 37184 31630 28714 23381
"Sample124" 34422 29484 26617 21772
"Sample125" 26653 22630 20795 18035
"Sample126" 19802 16876 15459 13593
"Sample127" 40410 34583 32149 26463
"Sample128" 42745 36198 33726 28282
"Sample129" 42822 35759 33075 27272
"Sample130" 29430 25251 22949 19631
"Sample131" 25653 21739 19805 16747
"Sample132" 36330 30930 27649 21883
"Sample133" 32178 27550 24827 20603
"Sample134" 47506 40317 37050 29446
"Sample135" 26110 22137 20003 16761
"Sample136" 33104 28101 25858 21320
"Sample137" 29260 24500 22214 18618
"Sample138" 16428 14003 12596 10981
"Sample139" 16999 14281 12874 11298
"Sample140" 27464 23335 20726 17548
"Sample141" 30081 25378 22877 18079
"Sample142" 17599 14706 13292 11588
"Sample143" 30174 25558 23060 18803
"Sample144" 24596 20714 18871 15909
"Sample145" 122689 104544 97325 75865
"Sample146" 68496 58940 54644 43524
"Sample147" 74466 62919 57457 43821
"Sample148" 122831 105650 97869 73622
"Sample149" 111105 94814 87432 63626
"Sample150" 127412 108043 100716 75047
"Sample151" 126949 109510 102891 78930
"Sample152" 117009 99189 91511 70603
"Sample153" 66150 55695 51274 40569
